order_id,customer_id,order_date,product,quantity,unit_price,region,status,channel
O00001,C1028,2025-06-13,Widget A,2.0,81.01,South,completed,web
O00002,C1129,,Tool Z,1.0,172.75,Central,completed,partner
O00003,C1040,2025-07-26,Tool Q,5.0,108.66,South,completed,store
O00004,C1067,2025-03-30,Accessory M,1.0,221.61,Central,completed,partner
O00005,C1147,2025-04-03,Widget B,1.0,23.28,South,pending,web
O00006,C1093,2025-04-27,Widget B,3.0,113.02,East,completed,web
O00007,C1118,2025-02-11,Gadget Y,2.0,296.95,Central,completed,store
O00008,C1080,2025-01-09,Gadget Y,2.0,29.18,Central,cancelled,store
O00009,C1117,2025-06-14,Widget B,2.0,50.48,Central,completed,partner
O00010,C1130,2025-02-05,Gadget Y,1.0,229.17,North,completed,mobile
O00011,C1119,2025-04-08,Tool Z,2.0,291.6,North,completed,web
O00012,C1087,2025-06-14,Widget A,2.0,136.07,West,completed,store
O00013,C1076,2025-01-28,Accessory M,2.0,54.31,South,completed,web
O00014,C1078,2025-04-03,Widget B,1.0,79.84,Central,cancelled,web
O00015,C1032,2025-05-17,Widget B,,284.58,South,completed,partner
O00016,C1051,2025-06-26,Tool Q,2.0,125.7,East,completed,partner
O00017,C1141,2025-05-31,Widget B,2.0,12.08,North,completed,web
O00018,C1124,2025-06-21,Widget B,1.0,219.76,Central,completed,mobile
O00019,C1110,2025-01-25,Gadget X,5.0,129.21,North,completed,web
O00020,C1063,2025-01-28,Widget B,2.0,165.51,South,completed,store
O00021,C1140,2025-07-26,Widget A,1.0,199.11,Central,pending,web
O00022,C1123,2025-05-05,Widget B,5.0,271.7,South,completed,partner
O00023,C1142,2025-04-19,Tool Q,,54.88,East,completed,web
O00024,C1012,2025-01-15,Tool Z,,155.82,Central,completed,web
O00025,C1103,2025-03-02,Widget A,2.0,177.88,North,completed,partner
O00026,C1052,2025-03-08,Tool Q,3.0,79.21,West,completed,store
O00027,C1117,2025-01-03,Tool Z,1.0,31.24,South,completed,mobile
O00028,C1072,2025-04-05,Widget B,,251.78,East,completed,web
O00029,C1034,2025-01-27,Gadget X,1.0,268.01,Central,completed,store
O00030,C1067,2025-06-12,Tool Z,,82.82,North,completed,partner
O00031,C1067,2025-02-03,Widget B,,169.98,West,completed,web
O00032,C1009,2025-05-20,Accessory M,3.0,178.92,South,completed,web
O00033,C1091,2025-01-11,Widget B,2.0,203.4,East,pending,partner
O00034,C1041,2025-03-02,Accessory M,1.0,265.6,North,completed,store
O00035,C1063,2025-07-08,Gadget X,1.0,238.33,North,completed,web
O00036,C1089,2025-04-28,Gadget X,2.0,74.64,South,completed,store
O00037,C1130,2025-06-14,Gadget Y,3.0,282.37,North,cancelled,store
O00038,C1111,,Gadget X,3.0,136.54,Central,completed,mobile
O00039,C1137,2025-07-26,Tool Q,2.0,115.61,North,cancelled,store
O00040,C1129,2025-03-18,Gadget X,5.0,104.58,East,completed,mobile
O00041,C1145,2025-02-14,Gadget X,5.0,168.89,North,completed,mobile
O00042,C1113,2025-04-30,Gadget Y,2.0,158.23,South,completed,store
O00043,C1060,2025-07-29,Tool Q,2.0,75.14,South,completed,web
O00044,C1116,2025-01-19,Gadget Y,2.0,218.31,West,completed,mobile
O00045,C1027,2025-07-17,Accessory M,5.0,73.45,Central,completed,mobile
O00046,C1135,2025-04-29,Tool Z,3.0,285.5,West,completed,partner
O00047,C1121,2025-07-10,Gadget Y,2.0,228.01,East,pending,partner
O00048,C1060,2025-03-15,Gadget X,3.0,102.71,Central,completed,mobile
O00049,C1106,2025-01-17,Gadget Y,3.0,167.35,West,completed,partner
O00050,C1147,2025-01-06,Gadget Y,,11.7,East,completed,partner
O00051,C1139,2025-07-11,Accessory M,2.0,151.58,East,completed,web
O00052,C1042,2025-07-05,Accessory M,,276.66,Central,completed,partner
O00053,C1034,2025-04-20,Accessory M,,62.69,East,completed,mobile
O00054,C1107,2025-03-13,Gadget X,1.0,146.38,Central,completed,store
O00055,C1007,2025-01-11,Widget B,2.0,253.37,Central,completed,mobile
O00056,C1065,2025-04-30,Accessory M,3.0,58.65,Central,refunded,web
O00057,C1006,2025-05-29,Gadget X,5.0,125.02,South,completed,mobile
O00058,C1030,2025-06-03,Accessory M,1.0,110.68,West,completed,web
O00059,C1125,2025-07-30,Widget A,5.0,288.62,West,completed,partner
O00060,C1137,2025-06-07,Accessory M,,144.8,Central,completed,mobile
O00061,C1118,2025-03-04,Tool Z,5.0,107.55,West,cancelled,mobile
O00062,C1070,2025-03-13,Tool Z,1.0,159.81,South,completed,partner
O00063,C1125,2025-06-15,Gadget Y,1.0,36.98,South,completed,mobile
O00064,C1088,2025-05-16,Gadget Y,3.0,112.02,West,completed,store
O00065,C1137,2025-07-10,Accessory M,1.0,65.54,West,completed,store
O00066,C1045,2025-04-03,Gadget X,1.0,215.32,South,completed,web
O00067,C1125,2025-07-12,Widget A,1.0,176.47,West,completed,store
O00068,C1029,2025-05-03,Accessory M,1.0,126.2,North,completed,web
O00069,C1063,2025-01-22,Widget A,5.0,185.82,Central,completed,partner
O00070,C1078,2025-04-20,Tool Z,1.0,186.78,North,cancelled,mobile
O00071,C1044,2025-03-03,Tool Z,1.0,55.38,West,completed,partner
O00072,C1116,2025-06-29,Widget A,2.0,277.92,Central,completed,mobile
O00073,C1036,2025-03-10,Widget A,1.0,58.11,East,completed,store
O00074,C1069,2025-04-14,Tool Z,,136.94,Central,completed,partner
O00075,C1147,2025-02-28,Tool Z,1.0,299.87,East,completed,mobile
O00076,C1149,2025-02-16,Gadget Y,,291.02,West,completed,store
O00077,C1126,2025-04-16,Gadget X,5.0,245.92,Central,completed,web
O00078,C1131,2025-04-14,Accessory M,1.0,200.71,Central,completed,web
O00079,C1113,2025-06-10,Accessory M,1.0,69.02,Central,completed,store
O00080,C1061,2025-06-11,Tool Q,1.0,100.11,North,completed,web
O00081,C1039,2025-01-31,Gadget Y,2.0,157.56,East,completed,partner
O00082,C1048,2025-04-09,Tool Z,1.0,260.56,East,pending,partner
O00083,C1072,2025-01-01,Tool Q,2.0,252.86,Central,refunded,partner
